"Weight","BMI","Date"
169.7,27.28,2019-11-09
169.7,27.28,2019-11-11
168.4,27.07,2019-11-18
167.5,26.93,2019-11-21
165.5,26.61,2019-12-03
165.3,26.57,2019-12-10
164,26.36,2019-12-12
166.2,26.71,2020-01-10
175.4,28.2,2020-03-27
176.8,28.42,2020-04-05
178.7,28.73,2020-04-14
175.2,28.17,2020-04-18
174.1,27.99,2020-04-19
173.5,27.88,2020-04-21
173,27.81,2020-04-22
173.5,27.88,2020-04-23
172.8,27.78,2020-04-24
173.2,27.85,2020-04-25
174.1,27.99,2020-04-26
176.8,28.42,2020-04-27
177,28.45,2020-05-01
176.8,28.42,2020-05-02
177.9,28.59,2020-05-05
177.9,28.59,2020-05-07
177.2,28.49,2020-05-10
177.9,28.59,2020-05-14
178.3,28.66,2020-05-17
177.9,28.59,2020-05-19
179,28.77,2020-05-21
180.5,29.02,2020-05-23
179.6,28.88,2020-05-26
179.2,28.81,2020-05-27
178.7,28.73,2020-05-28
178.3,28.66,2020-05-29
179.4,28.84,2020-05-31
179.6,28.88,2020-06-01
182.1,29.27,2020-06-03
180.5,29.02,2020-06-04
178.3,28.66,2020-06-06
177.9,28.59,2020-06-07
177.4,28.52,2020-06-08
177,28.45,2020-06-09
176.3,28.34,2020-06-10
177.4,28.52,2020-06-11
176.5,28.38,2020-06-12
175.7,28.24,2020-06-16
174.6,28.06,2020-06-17
174.3,28.03,2020-06-18
174.6,28.06,2020-06-19
173.9,27.95,2020-06-20
174.6,28.06,2020-06-23
173.7,27.92,2020-06-24
174.3,28.03,2020-06-25
172.4,27.71,2020-06-27
171.5,27.57,2020-06-28
171.9,27.64,2020-06-29
171.2,27.53,2020-06-30
170.8,27.46,2020-07-01
171,27.49,2020-07-02
170.1,27.35,2020-07-04
182.9,29.41,2020-07-05
169.5,27.25,2020-07-06
170.6,27.42,2020-07-07
170.8,27.46,2020-07-08
169.9,27.32,2020-07-09
170.8,27.46,2020-07-11
169.5,27.25,2020-07-12
169,27.18,2020-07-14
168.4,27.07,2020-07-15
168.8,27.14,2020-07-16
168.6,27.1,2020-07-17
169.3,27.21,2020-07-18
168.6,27.1,2020-07-19
167.5,26.93,2020-07-20
168.6,27.1,2020-07-21
167.7,26.96,2020-07-22
167.7,26.96,2020-07-23
167.9,27,2020-07-24
166.6,26.79,2020-07-25
166.2,26.71,2020-07-26
165.5,26.61,2020-07-27
165.7,26.64,2020-07-28
166,26.68,2020-07-29
165.5,26.61,2020-07-30
166.8,26.82,2020-08-01
171,27.49,2020-08-09
173,27.81,2020-08-10
170.8,27.46,2020-08-11
169.7,27.28,2020-08-12
168.8,27.14,2020-08-13
167.9,27,2020-08-14
167.7,26.96,2020-08-15
168.8,27.14,2020-08-16
168.2,27.03,2020-08-17
170.4,27.39,2020-08-18
170.6,27.42,2020-08-19
171.2,27.53,2020-08-20
171.2,27.53,2020-08-22
171.9,27.64,2020-08-23
173.7,27.92,2020-08-24
172.1,27.67,2020-08-26
172.8,27.78,2020-08-27
173.5,27.88,2020-08-30
172.6,27.74,2020-09-01
175,28.13,2020-09-02
174.1,27.99,2020-09-03
176.3,28.34,2020-09-09
175.4,28.2,2020-09-12
177,28.45,2020-09-13
176.1,28.31,2020-09-14
177.2,28.49,2020-09-16
178.7,28.73,2020-09-18
178.7,28.73,2020-09-19
178.1,28.63,2020-09-21
180.5,29.02,2020-09-23
179.8,28.91,2020-09-24
182.3,29.3,2020-09-28
180.7,29.05,2020-09-29
181.8,29.23,2020-09-30
181.4,29.16,2020-10-02
180.3,28.98,2020-10-03
181.4,29.16,2020-10-04
181.4,29.16,2020-10-05
182.9,29.41,2020-10-06
180.9,29.09,2020-10-07
179.6,28.88,2020-10-08
179,28.77,2020-10-09
180.5,29.02,2020-10-10
179.4,28.84,2020-10-11
179.8,28.91,2020-10-12
177.9,28.59,2020-10-13
177,28.45,2020-10-14
177.2,28.49,2020-10-15
177.6,28.56,2020-10-18
176.8,28.42,2020-10-19
177.2,28.49,2020-10-20
174.8,28.1,2020-10-21
175.7,28.24,2020-10-22
175.4,28.2,2020-10-23
174.8,28.1,2020-10-25
175.2,28.17,2020-10-26
174.3,28.03,2020-10-27
174.6,28.06,2020-10-28
173.5,27.88,2020-10-29
173.7,27.92,2020-10-30
174.3,28.03,2020-11-01
174.3,28.03,2020-11-02
174.1,27.99,2020-11-03
173.7,27.92,2020-11-04
173.5,27.88,2020-11-05
172.4,27.71,2020-11-06
173.7,27.92,2020-11-07
173.2,27.85,2020-11-08
172.8,27.78,2020-11-09
171.7,27.6,2020-11-11
172.6,27.74,2020-11-12
172.1,27.67,2020-11-13
171.7,27.6,2020-11-14
170.1,27.35,2020-11-15
170.6,27.42,2020-11-16
170.8,27.46,2020-11-17
169.5,27.25,2020-11-18
169.3,27.21,2020-11-19
169,27.18,2020-11-20
168.8,27.14,2020-11-21
169,27.18,2020-11-22
169.9,27.32,2020-11-23
168.8,27.14,2020-11-24
169.3,27.21,2020-11-25
170.8,27.46,2020-11-26
168.8,27.14,2020-11-27
168.2,27.03,2020-11-28
167.5,26.93,2020-11-29
167.1,26.86,2020-11-30
167.3,26.89,2020-12-01
167.1,26.86,2020-12-02
166.6,26.79,2020-12-03
167.1,26.86,2020-12-04
167.9,27,2020-12-05
168.6,27.1,2020-12-06
166.2,26.71,2020-12-07
166,26.68,2020-12-08
166,26.68,2020-12-09
166.8,26.82,2020-12-10
164.9,26.5,2020-12-11
165.1,26.54,2020-12-12
165.3,26.57,2020-12-13
166.2,26.71,2020-12-14
164,26.36,2020-12-15
163.5,26.29,2020-12-16
164,26.36,2020-12-17
163.5,26.29,2020-12-18
163.3,26.25,2020-12-19
162.9,26.18,2020-12-20
164.4,26.43,2020-12-21
162.4,26.11,2020-12-22
163.5,26.29,2020-12-23
163.5,26.29,2020-12-24
164.2,26.4,2020-12-25
164.4,26.43,2020-12-27
166.6,26.79,2020-12-29
165.1,26.54,2020-12-30
163.8,26.33,2020-12-31
165.5,26.61,2021-01-01
166.8,26.82,2021-01-02
166,26.68,2021-01-03
164.2,26.4,2021-01-04
164.4,26.43,2021-01-05
164.9,26.5,2021-01-06
164.9,26.5,2021-01-07
164,26.36,2021-01-08
162.9,26.18,2021-01-09
162.7,26.15,2021-01-10
163.3,26.25,2021-01-11
163.8,26.33,2021-01-12
162.9,26.18,2021-01-13
161.8,26.01,2021-01-14
162,26.04,2021-01-15
162.7,26.15,2021-01-16
162.9,26.18,2021-01-17
161.1,25.9,2021-01-18
161.1,25.9,2021-01-19
161.8,26.01,2021-01-20
160.4,25.79,2021-01-21
160.9,25.86,2021-01-22
160.4,25.79,2021-01-23
160.2,25.76,2021-01-24
160,25.72,2021-01-25
159.6,25.65,2021-01-26
159.8,25.69,2021-01-27
158.9,25.55,2021-01-28
159.3,25.62,2021-01-29
160,25.72,2021-01-30
158.9,25.55,2021-01-31
159.8,25.69,2021-02-01
158.2,25.44,2021-02-02
